"data.race","data.partyid"
"267","white","independent"
"268","white","not str democrat"
"269","black","not str republican"
"270","white","not str democrat"
"271","white","strong democrat"
"272","black","not str democrat"
"273","black","not str republican"
"274","black","not str democrat"
"275","black","not str democrat"
"276","white","independent"
"277","black","independent"
"278","white","not str republican"
"279","white","not str democrat"
"280","white","not str democrat"
"281","white","strong democrat"
"282","white","other party"
"283","white","not str republican"
"284","white","other party"
"285","white","not str democrat"
"286","white","ind,near rep"
"287","white","not str democrat"
"288","white","not str democrat"
"289","white","ind,near dem"
"290","white","not str republican"
"291","white","independent"
"292","white","independent"
"293","white","ind,near dem"
"294","white","ind,near dem"
"295","white","independent"
"296","white","strong democrat"
"297","white","not str democrat"
"298","white","not str democrat"
"299","white","strong democrat"
"300","white","other party"
"301","black","strong democrat"
"302","black","strong democrat"
"303","black","ind,near dem"
"304","black","strong democrat"
"305","black","not str democrat"
"306","black","strong democrat"
"307","black","not str democrat"
"308","black","not str democrat"
"309","black","strong democrat"
"310","black","strong democrat"
"311","black","not str republican"
"312","black","not str republican"
"313","black","strong democrat"
"314","black","not str democrat"
"315","black","strong democrat"
"316","black","not str republican"
"317","white","ind,near dem"
"318","white","strong democrat"
"319","white","other party"
"320","white","not str democrat"
"321","white","other party"
"322","white","strong democrat"
"323","white","not str democrat"
"324","white","other party"
"325","white","not str democrat"
"326","white","ind,near dem"
"327","white","ind,near rep"
"328","white","ind,near dem"
"329","white","not str republican"
"330","white","ind,near dem"
"331","white","ind,near dem"
"332","white","not str democrat"
"333","white","strong republican"
"334","white","strong republican"
"335","white","other party"
"336","white","not str republican"
"337","white","other party"
"338","white","other party"
"339","white","strong republican"
"340","black","not str democrat"
"341","black","not str democrat"
"342","black","strong democrat"
"343","black","other party"
"344","black","not str democrat"
"345","black","other party"
"346","black","not str democrat"
"347","white","strong democrat"
"348","white","not str democrat"
"349","white","not str republican"
"350","white","not str democrat"
"351","white","not str democrat"
"352","white","ind,near dem"
"353","white","strong democrat"
"354","black","strong democrat"
"355","black","strong democrat"
"356","black","strong democrat"
"357","black","strong democrat"
"358","black","strong democrat"
"359","black","strong democrat"
"360","black","not str democrat"
"361","black","strong democrat"
"362","white","independent"
"363","white","not str republican"
"364","white","not str democrat"
"365","white","not str republican"
"366","white","not str republican"
"367","white","not str republican"
"368","white","ind,near rep"
"369","white","strong democrat"
"370","white","not str democrat"
"371","white","independent"
"372","white","not str republican"
"373","white","strong democrat"
"374","white","not str democrat"
"375","white","independent"
"376","white","not str democrat"
"377","white","not str republican"
"378","white","not str republican"
"379","white","not str republican"
"380","white","not str republican"
"381","white","not str republican"
"382","white","strong republican"
"383","white","not str democrat"
"384","white","not str republican"
"385","white","strong republican"
"386","white","not str democrat"
"387","white","not str democrat"
"388","white","not str democrat"
"389","white","not str democrat"
"390","white","strong democrat"
"391","black","not str democrat"
"392","black","strong democrat"
"393","black","strong democrat"
"394","black","strong democrat"
"395","black","strong democrat"
"396","black","strong democrat"
"397","black","strong democrat"
"398","black","other party"
"399","black","not str democrat"
"400","black","strong democrat"
"401","white","not str democrat"
"402","white","not str democrat"
"403","white","not str democrat"
"404","white","not str democrat"
"405","white","not str democrat"
"406","white","independent"
"407","white","not str republican"
"408","white","strong republican"
"409","white","not str republican"
"410","white","not str democrat"
"411","white","strong republican"
"412","white","strong republican"
"413","white","not str republican"
"414","white","strong republican"
"415","white","ind,near dem"
"416","white","ind,near dem"
"417","white","strong democrat"
"418","white","not str democrat"
"419","white","strong republican"
"420","white","not str democrat"
"421","white","strong democrat"
"422","white","not str democrat"
"423","white","not str democrat"
"424","white","independent"
"425","white","not str republican"
"426","white","not str democrat"
"427","white","ind,near dem"
"428","white","not str democrat"
"429","white","independent"
"430","white","ind,near rep"
"431","white","not str republican"
"432","white","not str democrat"
"433","white","not str democrat"
"434","white","ind,near rep"
"435","white","ind,near dem"
"436","white","not str democrat"
"437","white","not str democrat"
"438","white","not str republican"
"439","white","strong democrat"
"440","white","not str democrat"
"441","white","not str democrat"
"442","white","independent"
"443","white","independent"
"444","white","not str democrat"
"445","white","not str democrat"
"446","white","strong democrat"
"447","black","strong democrat"
"448","black","ind,near dem"
"449","black","strong democrat"
"450","black","not str democrat"
"451","black","strong democrat"
"452","black","ind,near dem"
"453","black","strong democrat"
"454","black","strong democrat"
"455","black","strong democrat"
"456","white","strong democrat"
"457","white","strong democrat"
"458","white","strong democrat"
"459","white","not str democrat"
"460","white","other party"
"461","white","not str democrat"
"462","white","strong democrat"
"463","white","not str democrat"
"464","white","strong democrat"
"465","white","not str democrat"
"466","white","strong democrat"
"467","white","ind,near rep"
"468","white","ind,near dem"
"469","white","not str democrat"
"470","white","strong democrat"
"471","white","ind,near dem"
"472","white","not str republican"
"473","white","not str democrat"
"474","white","not str democrat"
"475","white","other party"
"476","white","not str democrat"
"477","white","other party"
"478","white","not str republican"
"479","white","not str republican"
"480","white","not str republican"
"481","white","strong republican"
"482","white","strong republican"
"483","white","strong republican"
"484","white","other party"
"485","white","ind,near rep"
"486","white","not str republican"
"487","white","ind,near dem"
"488","white","independent"
"489","white","independent"
"490","white","strong republican"
"491","white","ind,near dem"
"492","white","independent"
"493","white","not str democrat"
"494","white","not str republican"
"495","white","not str democrat"
"496","white","not str democrat"
"497","white","not str democrat"
"498","white","strong democrat"
"499","white","not str republican"
"500","white","strong democrat"
"501","white","strong democrat"
"502","white","not str democrat"
"503","white","not str republican"
"504","white","strong democrat"
"505","white","ind,near dem"
"506","white","ind,near rep"
"507","white","not str republican"
"508","white","not str democrat"
"509","white","not str democrat"
"510","white","not str democrat"
"511","white","not str democrat"
"512","white","other party"
"513","white","independent"
"514","white","not str democrat"
"515","white","ind,near dem"
"516","white","not str democrat"
"517","white","not str republican"
"518","white","not str democrat"
"519","white","not str democrat"
"520","white","ind,near rep"
"521","white","not str democrat"
"522","white","ind,near rep"
"523","white","not str republican"
"524","white","strong democrat"
"525","white","not str republican"
"526","white","not str republican"
"527","white","not str republican"
"528","white","ind,near dem"
"529","white","not str republican"
"530","white","not str democrat"
"531","white","strong democrat"
"532","white","not str republican"
"533","white","not str democrat"
"534","white","ind,near rep"
"535","white","strong democrat"
"536","white","ind,near rep"
"537","white","not str democrat"
"538","white","strong republican"
"539","white","independent"
"540","white","independent"
"541","white","not str democrat"
"542","white","not str democrat"
"543","white","strong democrat"
"544","white","not str democrat"
"545","white","not str republican"
"546","white","independent"
"547","white","ind,near rep"
"548","white","strong democrat"
"549","white","not str republican"
"550","white","ind,near rep"
"551","white","ind,near rep"
"552","white","not str democrat"
"553","white","independent"
"554","white","strong republican"
"555","white","ind,near dem"
"556","white","independent"
"557","white","not str democrat"
"558","white","strong democrat"
"559","white","not str democrat"
"560","white","ind,near dem"
"561","white","not str democrat"
"562","white","ind,near rep"
"563","white","independent"
"564","white","strong democrat"
"565","white","not str democrat"
"566","white","strong republican"
"567","white","strong democrat"
"568","white","strong democrat"
"569","white","not str republican"
"570","white","strong democrat"
"571","white","independent"
"572","white","strong republican"
"573","white","ind,near rep"
"574","white","not str republican"
"575","white","ind,near rep"
"576","white","not str republican"
"577","white","strong republican"
"578","white","strong republican"
"579","white","ind,near dem"
"580","white","not str republican"
"581","white","strong democrat"
"582","white","strong democrat"
"583","white","strong democrat"
"584","white","other party"
"585","white","independent"
"586","white","ind,near rep"
"587","white","strong republican"
"588","white","independent"
"589","white","independent"
"590","white","strong republican"
"591","white","not str democrat"
"592","white","ind,near rep"
"593","white","ind,near dem"
"594","white","not str republican"
"595","white","ind,near dem"
"596","white","not str democrat"
"597","white","independent"
"598","white","not str republican"
"599","white","independent"
"600","white","not str democrat"
"601","white","not str democrat"
"602","white","not str democrat"
"603","white","strong republican"
"604","white","strong democrat"
"605","white","not str republican"
"606","white","other party"
"607","white","independent"
"608","white","not str democrat"
"609","white","strong democrat"
"610","white","not str democrat"
"611","white","independent"
"612","white","not str republican"
"613","white","not str democrat"
"614","white","not str republican"
"615","white","not str democrat"
"616","white","not str democrat"
"617","white","ind,near rep"
"618","white","not str democrat"
"619","white","strong republican"
"620","white","strong democrat"
"621","white","not str republican"
"622","white","ind,near dem"
"623","white","ind,near rep"
"624","white","not str democrat"
"625","white","strong republican"
"626","white","not str democrat"
"627","white","ind,near dem"
"628","white","not str democrat"
"629","white","independent"
"630","white","strong democrat"
"631","white","not str republican"
"632","white","not str democrat"
"633","white","not str democrat"
"634","white","ind,near rep"
"635","white","strong democrat"
"636","white","ind,near dem"
"637","other","not str democrat"
"638","white","ind,near rep"
"639","white","not str republican"
"640","other","ind,near rep"
"641","white","not str democrat"
"642","white","not str democrat"
"643","white","strong republican"
"644","white","not str democrat"
"645","white","not str republican"
"646","white","not str republican"
"647","white","not str democrat"
"648","white","not str democrat"
"649","white","independent"
"650","white","not str republican"
"651","white","not str republican"
"652","white","strong republican"
"653","white","strong republican"
"654","white","not str republican"
"655","white","independent"
"656","white","other party"
"657","white","other party"
"658","white","strong democrat"
"659","white","independent"
"660","white","not str democrat"
"661","white","independent"
"662","white","not str democrat"
"663","white","ind,near dem"
"664","black","not str democrat"
"665","black","independent"
"666","black","independent"
"667","black","not str democrat"
"668","black","ind,near dem"
"669","black","not str democrat"
"670","black","not str democrat"
"671","black","strong democrat"
"672","black","other party"
"673","other","not str democrat"
"674","black","independent"
"675","black","strong democrat"
"676","black","strong democrat"
"677","black","strong democrat"
"678","black","strong democrat"
"679","white","not str democrat"
"680","black","not str democrat"
"681","white","not str democrat"
"682","white","not str democrat"
"683","white","strong democrat"
"684","white","independent"
"685","white","ind,near dem"
"686","white","strong democrat"
"687","white","not str republican"
"688","white","not str democrat"
"689","white","ind,near dem"
"690","black","not str democrat"
"691","black","independent"
"692","black","other party"
"693","black","other party"
"694","black","not str democrat"
"695","black","strong democrat"
"696","black","not str democrat"
"697","black","strong democrat"
"698","white","not str democrat"
"699","white","not str democrat"
"700","white","not str republican"
"701","white","not str democrat"
"702","black","strong democrat"
"703","black","strong democrat"
"704","black","not str republican"
"705","white","ind,near dem"
"706","white","strong democrat"
"707","white","ind,near dem"
"708","white","not str republican"
"709","white","strong democrat"
"710","white","strong democrat"
"711","white","strong democrat"
"712","white","strong republican"
"713","white","not str republican"
"714","white","not str democrat"
"715","white","independent"
"716","white","ind,near rep"
"717","white","independent"
"718","white","ind,near dem"
"719","white","strong democrat"
"720","white","independent"
"721","white","independent"
"722","white","not str republican"
"723","white","strong democrat"
"724","white","independent"
"725","white","strong democrat"
"726","white","strong republican"
"727","white","ind,near dem"
"728","white","strong democrat"
"729","white","not str republican"
"730","black","strong democrat"
"731","white","not str democrat"
"732","white","strong republican"
"733","white","independent"
"734","white","independent"
"735","white","ind,near rep"
"736","white","ind,near rep"
"738","white","independent"
"739","white","not str republican"
"740","white","independent"
"741","white","not str democrat"
"742","white","independent"
"743","white","strong democrat"
"744","white","not str democrat"
"745","white","not str democrat"
"747","white","not str democrat"
"748","white","independent"
"749","white","not str republican"
"750","white","other party"
"751","white","other party"
"752","white","not str republican"
"753","white","ind,near dem"
"754","white","independent"
"755","white","not str democrat"
"756","white","strong republican"
"757","white","not str democrat"
"758","white","not str democrat"
"759","white","ind,near dem"
"760","white","strong democrat"
"761","white","not str democrat"
"762","white","strong republican"
"763","white","not str republican"
"764","white","ind,near rep"
"765","white","not str republican"
"766","white","not str democrat"
"767","white","strong republican"
"768","white","other party"
"769","white","ind,near dem"
"770","white","strong democrat"
"771","white","not str republican"
"772","white","not str democrat"
"773","white","strong democrat"
"774","white","strong democrat"
"775","white","not str democrat"
"776","white","not str democrat"
"777","white","not str democrat"
"778","white","strong republican"
"779","white","not str republican"
"780","white","strong republican"
"781","white","not str republican"
"782","white","not str democrat"
"783","white","not str democrat"
"784","white","strong republican"
"785","black","not str democrat"
"786","black","ind,near dem"
"787","black","not str democrat"
"788","white","strong democrat"
"789","black","other party"
"790","black","strong democrat"
"791","black","not str democrat"
"792","black","strong democrat"
"793","black","not str democrat"
"794","white","ind,near dem"
"795","white","strong democrat"
"796","white","not str democrat"
"797","white","independent"
"798","white","strong democrat"
"799","white","not str republican"
"800","white","strong republican"
"801","white","ind,near dem"
"802","white","not str republican"
"803","white","strong democrat"
"804","white","not str democrat"
"805","white","not str republican"
"806","white","independent"
"807","white","ind,near dem"
"808","white","ind,near dem"
"809","white","not str democrat"
"810","white","ind,near dem"
"811","white","not str democrat"
"812","white","not str democrat"
"813","white","ind,near dem"
"814","white","not str democrat"
"815","white","ind,near dem"
"816","white","not str democrat"
"817","white","not str republican"
"818","white","strong democrat"
"819","white","strong democrat"
"820","white","not str democrat"
"821","white","not str democrat"
"822","white","not str democrat"
"823","black","strong democrat"
"824","white","strong democrat"
"825","white","strong democrat"
"826","white","not str democrat"
"827","white","strong democrat"
"828","white","not str republican"
"829","white","not str democrat"
"830","white","strong republican"
"831","white","not str republican"
"832","white","independent"
"833","white","not str republican"
"834","white","ind,near rep"
"835","white","strong democrat"
"836","white","not str republican"
"837","white","independent"
"838","white","strong democrat"
"839","white","not str democrat"
"840","white","not str democrat"
"841","white","ind,near dem"
"842","white","independent"
"843","white","not str democrat"
"844","white","ind,near rep"
"845","white","strong democrat"
"846","white","ind,near rep"
"847","white","ind,near rep"
"848","white","not str democrat"
"849","white","not str republican"
"850","white","not str democrat"
"851","black","not str democrat"
"852","black","not str democrat"
"853","black","not str republican"
"854","black","independent"
"855","black","not str democrat"
"856","black","not str democrat"
"857","black","not str democrat"
"858","black","not str democrat"
"859","white","not str republican"
"860","white","not str democrat"
"861","white","independent"
"862","white","strong democrat"
"863","white","not str democrat"
"864","white","ind,near dem"
"865","white","strong democrat"
"866","white","independent"
"867","white","ind,near rep"
"868","white","not str democrat"
"869","white","strong republican"
"870","white","strong republican"
"871","white","strong republican"
"872","white","not str democrat"
"873","white","ind,near rep"
"874","white","ind,near dem"
"875","white","independent"
"876","white","strong democrat"
"877","white","not str democrat"
"878","white","not str democrat"
"879","white","not str republican"
"880","white","not str democrat"
"881","white","ind,near dem"
"882","white","not str republican"
"883","black","ind,near dem"
"884","black","not str republican"
"885","black","strong democrat"
"886","black","not str democrat"
"887","black","strong democrat"
"888","black","not str democrat"
"889","black","not str democrat"
"890","black","strong democrat"
"891","black","strong democrat"
"892","white","strong republican"
"893","white","ind,near dem"
"894","white","strong republican"
"895","white","strong republican"
"896","white","independent"
"897","white","ind,near dem"
"898","white","independent"
"899","white","not str republican"
"900","white","not str republican"
"901","white","not str democrat"
"902","white","not str democrat"
"903","white","not str democrat"
"904","white","other party"
"905","white","not str republican"
"906","white","strong republican"
"907","white","strong republican"
"908","black","strong democrat"
"909","black","strong democrat"
"910","black","strong democrat"
"911","black","strong republican"
"912","black","strong democrat"
"913","black","strong democrat"
"914","black","strong democrat"
"915","white","not str democrat"
"916","white","not str democrat"
"917","white","strong republican"
"918","white","strong democrat"
"919","white","not str democrat"
"920","white","strong democrat"
"921","white","not str democrat"
"922","white","not str democrat"
"923","white","not str democrat"
"924","white","not str democrat"
"925","black","strong democrat"
"926","black","strong democrat"
"927","white","other party"
"928","white","not str democrat"
"929","white","ind,near rep"
"930","white","ind,near dem"
"931","white","independent"
"932","white","ind,near rep"
"933","white","not str democrat"
"934","white","ind,near dem"
"935","white","strong democrat"
"936","white","not str democrat"
"937","white","other party"
"938","white","independent"
"939","black","strong democrat"
"940","black","strong democrat"
"941","black","strong democrat"
"942","black","strong democrat"
"943","black","strong democrat"
"944","black","strong democrat"
"945","black","strong democrat"
"946","white","other party"
"947","white","ind,near rep"
"948","white","strong republican"
"949","white","ind,near rep"
"950","white","ind,near dem"
"951","white","independent"
"952","white","ind,near dem"
"953","white","not str democrat"
"954","white","not str democrat"
"955","white","ind,near dem"
"956","white","not str democrat"
"957","white","strong democrat"
"958","white","strong democrat"
"959","white","strong republican"
"960","white","independent"
"961","white","not str democrat"
"962","white","not str democrat"
"963","white","strong republican"
"964","white","not str democrat"
"965","white","not str democrat"
"966","white","not str republican"
"967","white","strong republican"
"968","white","ind,near rep"
"969","white","strong republican"
"970","white","strong republican"
"971","white","strong republican"
"972","white","strong republican"
"973","white","not str democrat"
"974","white","independent"
"975","white","other party"
"976","white","not str democrat"
"977","white","not str republican"
"978","white","not str republican"
"979","white","not str democrat"
"980","white","not str republican"
"981","white","strong republican"
"982","white","strong republican"
"983","white","strong republican"
"984","white","not str democrat"
"985","white","independent"
"986","white","other party"
"987","white","strong republican"
"988","white","not str republican"
"989","white","not str democrat"
"990","white","strong democrat"
"991","white","other party"
"992","white","ind,near dem"
"993","white","ind,near dem"
"994","white","ind,near dem"
"995","white","strong democrat"
"996","white","strong democrat"
"997","white","strong republican"
"998","white","strong democrat"
"999","black","independent"
"1000","black","independent"
"1001","black","strong democrat"
"1002","black","strong democrat"
"1003","black","independent"
"1004","black","strong democrat"
"1005","black","not str democrat"
"1006","black","not str democrat"
"1007","white","other party"
"1008","white","not str democrat"
"1009","white","ind,near dem"
"1010","white","strong democrat"
"1011","white","not str democrat"
"1012","white","not str democrat"
"1013","white","not str democrat"
"1014","white","strong democrat"
"1015","white","not str republican"
"1016","white","not str democrat"
"1017","white","independent"
"1018","white","independent"
"1019","white","not str republican"
"1020","white","not str republican"
"1021","white","ind,near dem"
"1022","white","not str republican"
"1023","white","ind,near rep"
"1024","white","not str republican"
"1025","white","strong democrat"
"1026","white","not str democrat"
"1027","white","strong democrat"
"1028","white","strong democrat"
"1029","white","not str democrat"
"1030","white","not str democrat"
"1031","white","strong democrat"
"1032","white","not str republican"
"1033","white","ind,near dem"
"1034","white","ind,near dem"
"1035","white","strong democrat"
"1036","white","ind,near rep"
"1037","white","ind,near rep"
"1038","white","ind,near rep"
"1039","white","strong republican"
"1040","white","not str democrat"
"1041","white","not str democrat"
"1042","white","ind,near rep"
"1043","white","strong republican"
"1044","white","not str democrat"
"1045","white","not str republican"
"1046","white","strong democrat"
"1047","white","not str democrat"
"1048","white","not str democrat"
"1049","white","not str republican"
"1050","white","not str republican"
"1051","white","not str democrat"
"1052","white","strong republican"
"1053","white","strong democrat"
"1054","white","strong democrat"
"1055","white","ind,near rep"
"1056","white","not str democrat"
"1057","white","not str democrat"
"1058","white","not str republican"
"1059","white","strong republican"
"1060","white","not str democrat"
"1061","white","not str democrat"
"1062","white","not str democrat"
"1063","white","ind,near rep"
"1064","white","not str democrat"
"1065","white","not str democrat"
"1066","white","not str democrat"
"1067","white","not str republican"
"1068","white","not str democrat"
"1069","white","not str democrat"
"1070","white","not str republican"
"1071","white","strong democrat"
"1072","white","not str republican"
"1073","white","strong democrat"
"1074","white","not str democrat"
"1075","white","strong democrat"
"1076","white","ind,near rep"
"1077","white","ind,near rep"
"1078","white","ind,near rep"
"1079","white","not str republican"
"1080","white","not str democrat"
"1081","white","not str republican"
"1082","white","ind,near rep"
"1083","white","not str democrat"
"1084","white","not str republican"
"1085","white","not str democrat"
"1086","white","strong republican"
"1087","white","not str democrat"
"1088","white","ind,near dem"
"1089","white","ind,near rep"
"1090","white","not str republican"
"1091","white","not str republican"
"1092","white","strong democrat"
"1093","white","strong republican"
"1094","white","strong democrat"
"1095","white","not str republican"
"1096","white","not str republican"
"1097","white","ind,near rep"
"1098","white","not str republican"
"1099","white","not str republican"
"1100","white","not str republican"
"1101","white","not str republican"
"1102","white","ind,near rep"
"1103","white","independent"
"1104","white","not str republican"
"1105","white","not str democrat"
"1106","white","ind,near dem"
"1107","white","not str republican"
"1108","white","not str republican"
"1109","white","not str democrat"
"1110","white","ind,near dem"
"1111","white","not str republican"
"1112","black","other party"
"1113","black","independent"
"1114","white","independent"
"1115","black","ind,near dem"
"1116","black","strong democrat"
"1117","black","strong democrat"
"1118","black","strong democrat"
"1119","black","strong democrat"
"1120","white","independent"
"1121","white","not str republican"
"1122","white","other party"
"1123","white","strong democrat"
"1124","white","strong republican"
"1125","white","independent"
"1126","white","strong democrat"
"1127","white","not str republican"
"1128","white","strong democrat"
"1129","white","strong democrat"
"1130","white","not str democrat"
"1131","white","ind,near dem"
"1132","white","not str democrat"
"1133","white","not str democrat"
"1134","white","ind,near rep"
"1135","white","other party"
"1136","white","strong democrat"
"1137","white","independent"
"1138","white","strong republican"
"1139","white","not str republican"
"1140","white","not str democrat"
"1141","white","not str democrat"
"1142","white","not str republican"
"1143","white","independent"
"1144","white","not str republican"
"1145","white","ind,near rep"
"1146","white","not str democrat"
"1147","white","not str democrat"
"1148","white","ind,near dem"
"1149","white","not str republican"
"1150","white","independent"
"1151","white","strong republican"
"1152","white","strong democrat"
"1153","white","not str republican"
"1154","white","ind,near rep"
"1155","white","not str republican"
"1156","white","not str republican"
"1157","white","other party"
"1159","white","not str democrat"
"1160","white","not str democrat"
"1161","white","ind,near dem"
"1162","white","ind,near dem"
"1163","white","ind,near dem"
"1164","white","not str republican"
"1165","black","not str democrat"
"1166","white","independent"
"1167","black","strong democrat"
"1168","white","other party"
"1169","white","strong republican"
"1170","white","not str democrat"
"1171","white","strong democrat"
"1172","white","independent"
"1173","white","ind,near rep"
"1174","white","independent"
"1175","white","strong republican"
"1176","white","not str republican"
"1177","white","ind,near rep"
"1178","white","ind,near rep"
"1179","white","not str democrat"
"1180","white","not str republican"
"1181","white","independent"
"1182","white","not str democrat"
"1183","white","not str democrat"
"1184","white","not str democrat"
"1185","white","not str democrat"
"1186","white","not str republican"
"1187","white","ind,near rep"
"1188","black","strong democrat"
"1189","black","strong democrat"
"1190","black","strong democrat"
"1191","black","strong democrat"
"1192","black","not str democrat"
"1193","black","strong democrat"
"1194","black","strong democrat"
"1195","black","not str democrat"
"1196","black","strong democrat"
"1197","white","not str republican"
"1198","white","strong democrat"
"1199","white","strong democrat"
